episode,avg_loss,avg_H,avg_MCT,ep_reward,starved,srpt_agree,lambda_ent
90,-0.106577,0.669105,103.9155,-0.158228,0,0.5122,0.29734
91,-0.120554,0.683322,64.7709,-0.110439,0,0.4103,0.29732
92,-0.104290,0.637831,50.4765,-0.103525,0,0.5806,0.29729
93,-0.113154,0.640058,55.2024,-0.140271,0,0.3333,0.29726
94,-0.108231,0.654812,38.2150,-0.147516,0,0.4375,0.29723
95,-0.135332,0.693687,43.9542,-0.128182,0,0.4762,0.29720
96,-0.108284,0.655208,54.5372,-0.100096,0,0.5405,0.29717
97,-0.107100,0.677640,96.2371,-0.128037,0,0.4510,0.29714
98,-0.100128,0.651619,85.9639,-0.146903,1,0.2222,0.29711
99,-0.107062,0.653717,83.1740,-0.123556,0,0.3953,0.29708
100,-0.104897,0.647441,66.3199,-0.143676,1,0.4286,0.29705
101,-0.113604,0.658519,64.0644,-0.107028,0,0.3077,0.29702
102,-0.108206,0.629846,28.2010,-0.052927,0,0.6923,0.29699
103,-0.098043,0.654055,39.2636,-0.150134,0,0.2500,0.29696
104,-0.111702,0.657507,71.6046,-0.155645,0,0.3214,0.29693
105,-0.107160,0.658305,89.3130,-0.162157,0,0.3824,0.29690
106,-0.118312,0.670676,41.1092,-0.076259,0,0.6667,0.29687
107,-0.092019,0.634961,68.9652,-0.134104,0,0.3750,0.29684
108,-0.116642,0.668298,97.8618,-0.156621,0,0.3333,0.29681
109,-0.099206,0.646796,79.5346,-0.154532,0,0.4516,0.29678
110,-0.105447,0.657068,66.4732,-0.112570,0,0.4865,0.29675
111,-0.100525,0.632483,42.2662,-0.123468,1,0.5238,0.29673
112,-0.094896,0.632254,43.4518,-0.112462,0,0.4583,0.29670
113,-0.100450,0.641365,69.0080,-0.127274,0,0.1765,0.29667
114,-0.107176,0.663285,46.1983,-0.112377,0,0.6154,0.29664
115,-0.102422,0.635406,61.1834,-0.136169,0,0.4286,0.29661
116,-0.091800,0.626648,29.4720,-0.100597,0,0.4737,0.29658
117,-0.110896,0.654528,71.7341,-0.171245,0,0.4000,0.29655
118,-0.112557,0.661914,57.3644,-0.107779,1,0.4118,0.29652
119,-0.118985,0.660356,45.3639,-0.108213,0,0.4615,0.29649
120,-0.098327,0.652922,34.1441,-0.074811,1,0.4000,0.29646
121,-0.084678,0.644917,35.2641,-0.101878,0,0.6818,0.29643
122,-0.091049,0.655486,29.5091,-0.092019,0,0.6667,0.29640
123,-0.102444,0.650632,98.9951,-0.121864,0,0.2549,0.29637
124,-0.121075,0.668651,50.3942,-0.093181,1,0.6571,0.29634
125,-0.103897,0.654768,59.5150,-0.144473,0,0.4000,0.29631
126,-0.114360,0.649420,57.6456,-0.117256,0,0.4839,0.29628
127,-0.095716,0.650108,59.0390,-0.107702,0,0.5000,0.29625
128,-0.103834,0.651815,53.9096,-0.085466,1,0.3415,0.29622
129,-0.101104,0.661600,53.4900,-0.130502,0,0.2800,0.29619
130,-0.104192,0.644755,87.7143,-0.115312,0,0.3800,0.29617
131,-0.113771,0.663480,111.0905,-0.139289,0,0.4314,0.29614
132,-0.105593,0.668183,54.4450,-0.098498,0,0.6486,0.29611
133,-0.096975,0.626597,59.6734,-0.110735,0,0.4412,0.29608
134,-0.129599,0.678112,30.2343,-0.076062,0,0.7308,0.29605
135,-0.101647,0.644344,20.5605,-0.076612,0,0.6111,0.29602
136,-0.121575,0.679153,62.1388,-0.133811,0,0.5517,0.29599
137,-0.113632,0.628598,45.4786,-0.113650,0,0.5600,0.29596
138,-0.097192,0.650183,43.1247,-0.086748,0,0.6471,0.29593
139,-0.102661,0.664228,87.7799,-0.150978,0,0.3333,0.29590
140,-0.110347,0.663933,74.5899,-0.127098,0,0.3611,0.29587
141,-0.099854,0.660314,54.3694,-0.123842,0,0.5185,0.29584
142,-0.099029,0.630239,59.3905,-0.116442,1,0.5000,0.29581
143,-0.106438,0.672447,33.3635,-0.061079,0,0.6923,0.29578
144,-0.114407,0.647268,68.2065,-0.087617,0,0.3774,0.29575
145,-0.094957,0.632420,42.5863,-0.085015,0,0.4375,0.29572
146,-0.120671,0.684588,59.6337,-0.149424,1,0.2917,0.29569
147,-0.112687,0.675944,38.4039,-0.077133,0,0.4688,0.29566
148,-0.105062,0.641759,92.2592,-0.163658,0,0.2647,0.29563
149,-0.088423,0.636665,72.6660,-0.166731,0,0.4815,0.29560
150,-0.107881,0.654992,38.7245,-0.093907,0,0.7037,0.29557
151,-0.104018,0.650649,81.0416,-0.145650,0,0.2941,0.29555
152,-0.094848,0.632181,81.7041,-0.139551,0,0.3333,0.29552
153,-0.096993,0.623570,42.7202,-0.111848,0,0.3333,0.29549
154,-0.100391,0.668119,74.2547,-0.105382,0,0.4000,0.29546
155,-0.103684,0.634109,106.2817,-0.158592,0,0.2439,0.29543
156,-0.098327,0.651745,57.7519,-0.097720,0,0.4474,0.29540
157,-0.101267,0.651738,28.7090,-0.084697,0,0.6364,0.29537
158,-0.109924,0.646746,56.5184,-0.166492,0,0.4500,0.29534
159,-0.122197,0.656103,40.7289,-0.099436,0,0.3846,0.29531
160,-0.110868,0.666886,45.8522,-0.123639,0,0.3043,0.29528
161,-0.106988,0.672163,67.8539,-0.101042,1,0.5778,0.29525
162,-0.081758,0.630894,53.3904,-0.140896,0,0.4783,0.29522
163,-0.105894,0.648075,56.2672,-0.109182,0,0.2188,0.29519
164,-0.106665,0.632989,79.9839,-0.125870,0,0.4146,0.29516
165,-0.087077,0.621664,21.8759,-0.068792,0,0.6818,0.29513
166,-0.104153,0.629978,44.2659,-0.102551,1,0.4815,0.29510
167,-0.115693,0.664661,63.2165,-0.105372,0,0.5897,0.29507
168,-0.088429,0.628021,50.9929,-0.095089,0,0.6000,0.29504
169,-0.086215,0.620874,44.7117,-0.110679,0,0.6154,0.29501
170,-0.100418,0.630155,71.4534,-0.113812,1,0.3500,0.29498
171,-0.116561,0.663696,101.0287,-0.144669,0,0.4545,0.29496
