episode,avg_loss,avg_H,avg_MCT,ep_reward,starved,srpt_agree,lambda_ent
90,-0.108371,0.697724,108.4328,-0.000642,0,0.5000,0.29734
91,-0.123592,0.682510,60.1294,-0.000623,0,0.4667,0.29732
92,-0.127033,0.728617,47.0366,-0.000609,0,0.8333,0.29729
93,-0.110113,0.669652,55.9977,-0.000508,0,0.3548,0.29726
94,-0.119582,0.636813,42.9881,-0.000503,0,0.4400,0.29723
95,-0.091864,0.661612,39.2479,-0.000422,0,0.4800,0.29720
96,-0.106492,0.696525,52.0238,-0.000553,0,0.6429,0.29717
97,-0.102708,0.661747,104.3397,-0.000631,0,0.3137,0.29714
98,-0.100819,0.680492,95.5985,-0.000974,0,0.1667,0.29711
99,-0.111696,0.697169,93.8567,-0.000587,0,0.3889,0.29708
100,-0.129309,0.702647,61.4361,-0.000544,0,0.4375,0.29705
101,-0.084382,0.676077,56.6112,-0.000652,0,0.4783,0.29702
102,-0.087419,0.652372,35.3724,-0.000366,1,0.5000,0.29699
103,-0.124984,0.682973,45.2766,-0.000511,0,0.4615,0.29696
104,-0.119344,0.681611,77.7807,-0.000590,0,0.4000,0.29693
105,-0.123122,0.703249,78.4362,-0.000847,0,0.3462,0.29690
106,-0.101100,0.686326,40.8597,-0.000549,0,0.5714,0.29687
107,-0.094088,0.669836,69.2652,-0.000578,0,0.7143,0.29684
108,-0.118805,0.707883,84.9437,-0.000515,0,0.4773,0.29681
109,-0.108204,0.670581,84.6940,-0.000780,0,0.2353,0.29678
110,-0.106058,0.678942,63.2964,-0.000617,1,0.4375,0.29675
111,-0.118642,0.703971,33.0850,-0.000274,1,0.6207,0.29673
112,-0.110330,0.682725,45.1817,-0.000542,0,0.6500,0.29670
113,-0.100463,0.687047,60.1286,-0.000605,0,0.5161,0.29667
114,-0.096502,0.651480,55.8944,-0.000385,0,0.3421,0.29664
115,-0.095505,0.668809,61.5517,-0.000700,1,0.2963,0.29661
116,-0.108981,0.673960,21.6334,-0.000309,0,0.7059,0.29658
117,-0.109291,0.690507,69.8789,-0.000815,0,0.3462,0.29655
118,-0.086861,0.643047,45.8465,-0.000508,1,0.4583,0.29652
119,-0.106119,0.664986,44.9123,-0.000371,0,0.6061,0.29649
120,-0.128185,0.722994,37.8770,-0.000402,0,0.3750,0.29646
