episode,avg_loss,avg_H,avg_MCT,ep_reward,starved,srpt_agree,lambda_ent
90,-0.156518,0.667346,108.4358,-0.172189,0,0.4750,0.29734
91,-0.153461,0.668137,73.3138,-0.110866,0,0.2791,0.29732
92,-0.130469,0.659504,43.9304,-0.106736,0,0.6538,0.29729
93,-0.154990,0.658611,42.7186,-0.090277,0,0.6562,0.29726
94,-0.150844,0.633953,45.3170,-0.108656,0,0.6154,0.29723
95,-0.157056,0.691086,39.9471,-0.106615,0,0.5833,0.29720
96,-0.146979,0.650295,53.9649,-0.129424,1,0.7308,0.29717
97,-0.148521,0.665908,108.0452,-0.148332,0,0.1915,0.29714
98,-0.148175,0.673887,75.3103,-0.129041,0,0.4595,0.29711
99,-0.151890,0.669217,87.9740,-0.146074,0,0.1892,0.29708
100,-0.151425,0.666340,54.4514,-0.100405,0,0.5143,0.29705
101,-0.149772,0.670338,64.1644,-0.108985,0,0.2895,0.29702
102,-0.145611,0.642033,28.2010,-0.051611,0,0.7000,0.29699
103,-0.142565,0.639618,39.2636,-0.150134,0,0.2500,0.29696
104,-0.150124,0.676209,78.8061,-0.173533,1,0.2222,0.29693
105,-0.159888,0.682254,89.9130,-0.159429,0,0.3429,0.29690
106,-0.148532,0.647634,41.1092,-0.079237,0,0.6471,0.29687
107,-0.135310,0.647798,68.2871,-0.137297,0,0.4194,0.29684
108,-0.165269,0.681035,108.5582,-0.192045,0,0.2353,0.29681
109,-0.157536,0.652931,83.7471,-0.147170,0,0.2286,0.29678
110,-0.164549,0.680708,61.0411,-0.101639,0,0.6341,0.29675
111,-0.149750,0.655163,32.9040,-0.061981,0,0.6857,0.29673
112,-0.139291,0.629948,38.8626,-0.080087,0,0.4688,0.29670
113,-0.135765,0.663246,58.8129,-0.120762,0,0.6000,0.29667
114,-0.162124,0.673029,52.0849,-0.142894,0,0.2727,0.29664
115,-0.147033,0.670662,57.8854,-0.110207,0,0.4545,0.29661
116,-0.148420,0.653211,24.3334,-0.080751,0,0.7500,0.29658
117,-0.162315,0.686934,68.7438,-0.112144,0,0.4103,0.29655
118,-0.165783,0.671368,50.0371,-0.117901,1,0.3462,0.29652
119,-0.157835,0.672084,46.6896,-0.100217,0,0.4483,0.29649
120,-0.143521,0.634790,42.8930,-0.158943,0,0.2500,0.29646
121,-0.158004,0.671838,30.3946,-0.073801,0,0.6071,0.29643
122,-0.159878,0.661715,26.1091,-0.077207,0,0.6522,0.29640
123,-0.157097,0.670372,96.1163,-0.115141,1,0.2593,0.29637
124,-0.149360,0.661467,59.0706,-0.114900,1,0.3125,0.29634
125,-0.155716,0.661984,57.8773,-0.123466,0,0.5862,0.29631
126,-0.147015,0.672263,57.9358,-0.132598,1,0.4074,0.29628
127,-0.149027,0.660184,64.6806,-0.119317,0,0.4571,0.29625
128,-0.167425,0.680173,65.6134,-0.120447,0,0.3235,0.29622
129,-0.141380,0.647874,45.1414,-0.098619,0,0.6667,0.29619
130,-0.145912,0.648964,87.2720,-0.125868,0,0.3256,0.29617
131,-0.154700,0.658261,113.8438,-0.133404,0,0.3091,0.29614
132,-0.150620,0.668489,61.4529,-0.155315,0,0.5417,0.29611
133,-0.153827,0.658668,66.6294,-0.167574,0,0.3333,0.29608
134,-0.151178,0.667045,45.0207,-0.099295,1,0.2857,0.29605
135,-0.153097,0.651512,24.3578,-0.065248,0,0.4400,0.29602
136,-0.151832,0.663291,70.3111,-0.131051,0,0.3636,0.29599
137,-0.161025,0.668428,39.1685,-0.081625,0,0.6667,0.29596
138,-0.155473,0.677356,58.0942,-0.119988,0,0.4000,0.29593
139,-0.154742,0.640634,82.2799,-0.130621,0,0.4500,0.29590
140,-0.152760,0.654715,61.5253,-0.104831,0,0.6053,0.29587
141,-0.159375,0.663354,63.5002,-0.154407,0,0.3200,0.29584
142,-0.151132,0.671589,46.9983,-0.123662,0,0.3750,0.29581
143,-0.156661,0.660719,40.6831,-0.086077,0,0.6250,0.29578
144,-0.157375,0.662028,75.4237,-0.118068,1,0.2500,0.29575
145,-0.163778,0.657206,50.0692,-0.125489,0,0.5600,0.29572
146,-0.136316,0.637482,61.5984,-0.149471,0,0.3200,0.29569
147,-0.151711,0.670756,37.1106,-0.124053,0,0.7368,0.29566
148,-0.148276,0.647123,83.6906,-0.093620,0,0.3220,0.29563
149,-0.163670,0.657247,72.5269,-0.116149,0,0.4000,0.29560
150,-0.155367,0.654535,39.3245,-0.108082,0,0.6087,0.29557
151,-0.154052,0.643061,89.7403,-0.168177,0,0.2188,0.29555
152,-0.168158,0.705505,80.0047,-0.159835,0,0.3000,0.29552
153,-0.168109,0.704041,50.4202,-0.114988,0,0.5556,0.29549
154,-0.144837,0.656134,76.5960,-0.102518,0,0.4314,0.29546
155,-0.150001,0.660934,117.8540,-0.129466,1,0.2203,0.29543
156,-0.151104,0.708261,47.6519,-0.089329,0,0.4706,0.29540
157,-0.149847,0.681251,37.3090,-0.066892,1,0.4722,0.29537
158,-0.155205,0.662185,46.8558,-0.123277,0,0.5417,0.29534
159,-0.164599,0.669647,39.8383,-0.097738,1,0.4615,0.29531
160,-0.163667,0.698817,42.0301,-0.150030,0,0.4706,0.29528
161,-0.160457,0.689331,73.8418,-0.119151,0,0.4103,0.29525
162,-0.177399,0.684719,40.9485,-0.091435,1,0.6552,0.29522
163,-0.158067,0.698918,49.5303,-0.100093,0,0.4688,0.29519
164,-0.150684,0.665937,77.5923,-0.117325,0,0.4419,0.29516
165,-0.169273,0.705183,30.7584,-0.083103,0,0.5833,0.29513
166,-0.175681,0.691496,33.1739,-0.101246,0,0.4286,0.29510
