episode,avg_loss,avg_H,avg_MCT,ep_reward,starved,srpt_agree,lambda_ent
90,-0.163645,0.674466,77.5072,-0.152218,0,0.2581,0.29734
91,-0.156063,0.662505,54.3461,-0.129508,0,0.6296,0.29732
92,-0.163351,0.676926,64.3580,-0.150890,0,0.3846,0.29729
93,-0.170239,0.687672,84.4503,-0.185108,0,0.2593,0.29726
94,-0.170199,0.676516,66.6266,-0.094508,0,0.3696,0.29723
95,-0.167297,0.676046,38.7460,-0.115390,1,0.3333,0.29720
96,-0.165699,0.670567,103.4289,-0.142681,0,0.3111,0.29717
97,-0.165238,0.699076,29.6883,-0.110770,0,0.7647,0.29714
98,-0.158974,0.677114,73.1007,-0.111618,0,0.4524,0.29711
99,-0.172359,0.703267,48.1725,-0.113986,1,0.6071,0.29708
100,-0.162819,0.667855,30.7049,-0.079995,0,0.5600,0.29705
101,-0.160479,0.675526,76.8151,-0.139655,0,0.5294,0.29702
102,-0.159212,0.667850,100.9602,-0.140706,0,0.4130,0.29699
103,-0.163962,0.683580,50.7374,-0.109879,0,0.2759,0.29696
104,-0.172187,0.696037,40.6583,-0.108218,0,0.6250,0.29693
105,-0.160537,0.664232,40.3842,-0.096980,0,0.4444,0.29690
106,-0.160133,0.651987,52.7689,-0.151974,1,0.3810,0.29687
107,-0.157023,0.676018,24.6157,-0.107461,1,0.6000,0.29684
108,-0.166570,0.686708,65.7006,-0.132671,0,0.5484,0.29681
109,-0.164125,0.678600,70.2013,-0.126628,0,0.2857,0.29678
110,-0.167854,0.676431,77.8168,-0.129445,0,0.4737,0.29675
111,-0.166548,0.676659,65.2813,-0.120674,0,0.3824,0.29673
112,-0.163852,0.671333,60.7336,-0.113244,0,0.6286,0.29670
113,-0.162433,0.677798,40.0633,-0.096834,0,0.5769,0.29667
114,-0.178457,0.720456,62.8537,-0.152301,0,0.3600,0.29664
115,-0.150702,0.637639,60.1628,-0.109133,0,0.4118,0.29661
116,-0.146920,0.635761,72.4028,-0.133925,0,0.4118,0.29658
117,-0.145941,0.618386,88.7058,-0.193193,0,0.3333,0.29655
118,-0.169969,0.687559,90.6024,-0.171727,0,0.2812,0.29652
119,-0.175684,0.701018,58.5765,-0.137683,0,0.4615,0.29649
120,-0.170094,0.684456,83.3681,-0.126432,0,0.5349,0.29646
121,-0.163135,0.686678,80.1360,-0.113520,0,0.4348,0.29643
122,-0.156075,0.663002,67.1756,-0.173963,0,0.3913,0.29640
123,-0.152410,0.635571,21.2444,-0.087291,0,0.5625,0.29637
124,-0.167660,0.680386,91.6982,-0.144255,0,0.3902,0.29634
125,-0.162932,0.687196,94.7449,-0.117395,1,0.3077,0.29631
126,-0.163679,0.685024,25.6386,-0.093874,0,0.5000,0.29628
127,-0.159575,0.669793,52.1835,-0.145080,1,0.6364,0.29625
128,-0.160555,0.672735,40.5269,-0.130548,0,0.4737,0.29622
129,-0.157036,0.672157,35.1546,-0.085248,0,0.3704,0.29619
130,-0.164019,0.679700,84.0531,-0.115270,0,0.4255,0.29617
131,-0.161588,0.657866,61.3403,-0.120345,0,0.2812,0.29614
132,-0.164096,0.669952,70.4978,-0.114883,0,0.2750,0.29611
133,-0.170623,0.702031,100.2584,-0.147748,0,0.5116,0.29608
134,-0.149421,0.648258,63.5318,-0.121298,0,0.4688,0.29605
135,-0.169020,0.687920,47.6167,-0.139735,0,0.3810,0.29602
136,-0.168983,0.701420,94.1889,-0.146719,0,0.2750,0.29599
137,-0.165549,0.689763,49.8609,-0.104053,0,0.3000,0.29596
138,-0.161170,0.669350,85.1865,-0.107509,0,0.5490,0.29593
139,-0.172552,0.695387,48.7373,-0.121658,0,0.5600,0.29590
140,-0.161208,0.679137,43.2672,-0.079304,0,0.6667,0.29587
141,-0.160528,0.670808,13.6612,-0.049229,0,0.7143,0.29584
142,-0.159585,0.674828,30.6778,-0.066332,1,0.4194,0.29581
143,-0.153566,0.650409,72.5591,-0.129766,1,0.2857,0.29578
144,-0.165904,0.681027,76.2837,-0.154490,0,0.4000,0.29575
145,-0.160715,0.673430,45.6442,-0.081566,0,0.5526,0.29572
146,-0.169367,0.697907,43.9705,-0.097089,0,0.6333,0.29569
147,-0.153526,0.651024,51.4235,-0.147484,0,0.1905,0.29566
