episode,avg_loss,avg_H,avg_MCT,ep_reward,starved,srpt_agree,lambda_ent
1,nan,nan,70.0026,-0.044050,0,0.6000,0.29997
2,nan,nan,92.7795,-0.054949,0,0.4872,0.29994
3,nan,nan,72.2181,-0.038940,0,0.2500,0.29991
4,nan,nan,62.4235,-0.033664,0,0.4400,0.29988
5,nan,nan,32.1832,-0.017851,0,0.7273,0.29985
6,nan,nan,45.4227,-0.025638,0,0.4375,0.29982
7,nan,nan,44.7604,-0.027098,0,0.5833,0.29979
8,nan,nan,34.4784,-0.023992,0,0.4500,0.29976
9,nan,nan,75.0757,-0.035319,0,0.3600,0.29973
10,nan,nan,67.8458,-0.032664,1,0.3226,0.29970
11,nan,nan,66.1133,-0.042342,0,0.5405,0.29968
12,nan,nan,62.6740,-0.033522,0,0.3667,0.29965
13,nan,nan,74.3386,-0.037251,0,0.4750,0.29962
14,nan,nan,42.8994,-0.022086,0,0.4800,0.29959
15,nan,nan,71.2415,-0.040604,0,0.4375,0.29956
16,nan,nan,33.5889,-0.018011,0,0.5862,0.29953
17,0.118756,0.554292,30.7952,-0.020329,0,0.6786,0.29950
18,-0.049289,0.614206,67.2848,-0.035657,0,0.5897,0.29947
19,-0.084982,0.597715,71.6928,-0.043959,0,0.5789,0.29944
20,-0.089651,0.609204,56.3489,-0.030855,1,0.5862,0.29941
21,-0.068271,0.596061,83.9981,-0.040148,0,0.3333,0.29938
22,-0.100224,0.626988,58.4963,-0.031809,0,0.3438,0.29935
23,-0.079202,0.615867,77.8623,-0.037694,0,0.3913,0.29932
24,-0.091036,0.644814,73.3132,-0.038978,1,0.4000,0.29929
25,-0.078509,0.591768,15.7554,-0.013553,0,0.9032,0.29926
26,-0.073070,0.596421,70.6694,-0.041095,0,0.4474,0.29923
27,-0.069197,0.585248,74.3369,-0.043266,0,0.3929,0.29920
28,-0.078554,0.581173,24.7170,-0.016889,0,0.6364,0.29917
29,-0.069991,0.600120,82.2410,-0.035484,0,0.3095,0.29914
30,-0.084207,0.607124,53.7860,-0.024445,1,0.3478,0.29911
31,-0.065749,0.584472,66.9318,-0.034926,0,0.3871,0.29909
